"Parâmetros de pesquisa:""Ano - 2024"
"Acórdão""Data da sessão""Colegiado""Processo""Tipo de processo""Relator""Unidade técnica do TCU"
"10519/2024-1C""03/12/2024""Primeira Câmara""002.483/2023-8""TOMADA DE CONTAS ESPECIAL""AUGUSTO SHERMAN""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"10370/2024-1C""03/12/2024""Primeira Câmara""021.294/2022-4""TOMADA DE CONTAS ESPECIAL""WALTON ALENCAR RODRIGUES""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"10234/2024-1C""26/11/2024""Primeira Câmara""017.397/2024-3""TOMADA DE CONTAS ESPECIAL""WALTON ALENCAR RODRIGUES""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"10233/2024-1C""26/11/2024""Primeira Câmara""017.395/2024-0""TOMADA DE CONTAS ESPECIAL""WALTON ALENCAR RODRIGUES""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"10107/2024-1C""26/11/2024""Primeira Câmara""031.437/2022-2""TOMADA DE CONTAS ESPECIAL""WALTON ALENCAR RODRIGUES""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"9998/2024-1C""19/11/2024""Primeira Câmara""006.475/2024-8""TOMADA DE CONTAS ESPECIAL""BENJAMIN ZYMLER""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"9949/2024-1C""12/11/2024""Primeira Câmara""016.235/2024-0""TOMADA DE CONTAS ESPECIAL""JORGE OLIVEIRA""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"9288/2024-1C""22/10/2024""Primeira Câmara""015.078/2024-8""TOMADA DE CONTAS ESPECIAL""BENJAMIN ZYMLER""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"9263/2024-1C""22/10/2024""Primeira Câmara""037.530/2023-2""TOMADA DE CONTAS ESPECIAL""WALTON ALENCAR RODRIGUES""Unidade de Auditoria Especializada em Tomada de Contas Especial"
