NOME_CARGO
Ministro do Trabalho e Emprego
Ministro do Trabalho e Emprego - Substituto
Ministra do Trabalho e Emprego
Ministra do Trabalho e Emprego - Substituta
Secretário-Executivo
Secretário-Executivo - Substituto
Secretária-Executivo
Secretária-Executiva - Substituta
Diretor de Administração, Finanças e Contabilidade
Diretor Adjunto de Administração, Finanças e Contabilidade
Diretora de Administração, Finanças e Contabilidade
Diretora Adjunta de Administração, Finanças e Contabilidade
Secretário de Inspeção do Trabalho
Secretário de Inspeção do Trabalho - Substituto
Secretária de Inspeção do Trabalho
Secretária de Inspeção do Trabalho - Substituta
Diretor do Departamento de Fiscalização do Trabalho
Diretor do Departamento de Fiscalização do Trabalho - Substituta
Diretora do Departamento de Fiscalização do Trabalho
Diretora do Departamento de Fiscalização do Trabalho - Substituta
Diretor do Departamento de Segurança e Saúde no Trabalho 
Diretor do Departamento de Segurança e Saúde no Trabalho - Substituto
Diretora do Departamento de Segurança e Saúde no Trabalho 
Diretora do Departamento de Segurança e Saúde no Trabalho - Substituta
Secretário de Proteção ao Trabalhador - SPT
Secretário de Proteção ao Trabalhador - SPT - Substituto
Secretária de Proteção ao Trabalhador - SPT
Secretária de Proteção ao Trabalhador - SPT - Substituta
Secretário de Relações do Trabalho
Secretário de Relações do Trabalho - Substituto
Secretária de Relações do Trabalho
Secretária de Relações do Trabalho - Substituta
Diretor do Departamento de Relações do Trabalho
Diretor do Departamento de Relações do Trabalho - Substituto
Diretora do Departamento de Relações do Trabalho
Diretora do Departamento de Relações do Trabalho - Substituta
Secretário Nacional de Qualificação,  Emprego e  Juventude
Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto
Secretária Nacional de Qualificação,  Emprego e  Juventude
Secretária Nacional de Qualificação,  Emprego e  Juventude - Substituta
Diretor do Departamento de Trabalho, Emprego e Renda
Diretor do Departamento de Trabalho, Emprego e Renda - Substituto
Diretora do Departamento de Trabalho, Emprego e Renda
Diretora do Departamento de Trabalho, Emprego e Renda - Substituta
Diretor do Departamento de Qualificação Social e Profissional
Diretor do Departamento de Qualificação Social e Profissional - Substituto
Diretora do Departamento de Qualificação Social e Profissional
Diretora do Departamento de Qualificação Social e Profissional - Substituta
Diretor do Departamento de Políticas de Trabalho para a Juventude
Diretor do Departamento de Políticas de Trabalho para a Juventude - Substituto
Diretora do Departamento de Políticas de Trabalho para a Juventude
Diretora do Departamento de Políticas de Trabalho para a Juventude - Substituta
Secretário Nacional de Economia Popular e Solidária 
Secretário Nacional de Economia Popular e Solidária - Substituto
Secretária Nacional de Economia Popular e Solidária 
Secretária Nacional de Economia Popular e Solidária - Substituta
Diretor do Departamento de Parcerias e Fomento
Diretor do Departamento de Parcerias e Fomento - Substituto
Diretora do Departamento de Parcerias e Fomento
Diretora do Departamento de Parcerias e Fomento - Substituta
Diretor do Departamento de Projetos
Diretor do Departamento de Projetos - Substituto
Diretor do Departamento de Projetos
Diretora do Departamento de Projetos - Substituta
