NOME_DIRIGENTE;NOME_CARGO;NOME_UNIDADE;DATA_INICIO_AFASTAMENTO;DATA_FIM_AFASTAMENTO;NOME_MOTIVO_AFASTAMENTO
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;14/03/2024;31/03/2024;Férias do titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;01/04/2024;31/05/2024;Viagem Oficial
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;01/06/2024;15/06/2024;Viagem Oficial do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;16/06/2024;11/10/2024;Viagem Oficial
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;12/10/2024;19/10/2024;Viagem Oficial do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;25/11/2024;28/11/2024;Viagem Oficial
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;25/11/2024;28/11/2024;Viagem Oficial do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;30/12/2024;31/12/2024;Recesso Final de Ano de Final de Ano
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;30/12/2024;31/12/2024;Recesso Final de Ano do Titular
CARLOS AUGUSTO SIMOES GONCALVES JUNIOR                   ;Secretário de Proteção ao Trabalhador - SPT;Secretaria de Proteção ao Trabalhador;16/09/2024;20/09/2024;Férias 
JOÃO PAULO FERREIRA MACHADO;Secretário de Proteção ao Trabalhador - SPT - Substituto;Secretaria de Proteção ao Trabalhador;16/09/2024;20/09/2024;Férias do Titular
CARLOS AUGUSTO SIMOES GONCALVES JUNIOR                   ;Secretário de Proteção ao Trabalhador - SPT;Secretaria de Proteção ao Trabalhador;21/09/2024;18/12/2024;Férias 
JOÃO PAULO FERREIRA MACHADO;Secretário de Proteção ao Trabalhador - SPT - Substituto;Secretaria de Proteção ao Trabalhador;18/12/2024;31/12/2024;Férias do Titular
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;16/09/2024;03/10/2024;Férias
HENRIQUE EDUARDO MEDEIROS AQUINO;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;16/09/2024;03/10/2024;Férias do Titular
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;10/11/2024;15/11/2024;Viagem Oficial 
HENRIQUE EDUARDO MEDEIROS AQUINO;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;10/11/2024;15/11/2024;Viagem Oficial do Titular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;01/06/2024;21/06/2024;Licença Tratamento Saúde
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;01/06/2024;21/06/2024;Licença Tratamento Saúde do Titular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;25/11/2024;06/12/2024;Féria do Titular
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;25/11/2024;06/12/2024;Féria do Títular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;23/12/2024;29/12/2024;Recesso Final de Ano Final de Ano
