Data da sessão;Unidade Instauradora;Descrição Acórdão;Processo;TCE
30/04/2024;Ministério do Trabalho e Emprego;Acórdão 3413/2024-1C;040.491/2023-4;1698|2023
23/04/2024;Ministério do Trabalho e Emprego;Acórdão 3242/2024-1C;015.221/2023-7;2872|2022
17/04/2024;Ministério do Trabalho e Emprego;Acórdão 709/2024-PL;014.813/2023-8;541|2023
16/04/2024;Ministério do Trabalho e Emprego;Acórdão 3067/2024-1C;014.524/2023-6;3147|2022
16/04/2024;Ministério do Trabalho e Emprego;Acórdão 2701/2024-2C;001.594/2022-2;2703|2021
02/04/2024;Ministério do Trabalho e Emprego;Acórdão 2502/2024-1C;015.013/2023-5;3287|2022
02/04/2024;Ministério do Trabalho e Emprego;Acórdão 2187/2024-2C;008.277/2023-0;2982|2022
02/04/2024;Ministério do Trabalho e Emprego;Acórdão 2185/2024-2C;008.257/2023-0;2622|2022
02/04/2024;Ministério do Trabalho e Emprego;Acórdão 2186/2024-2C;008.276/2023-4;2719|2022
20/03/2024;Ministério do Trabalho e Emprego;Acórdão 2155/2024-1C;009.656/2023-5;3135|2022
12/03/2024;Ministério do Trabalho e Emprego;Acórdão 1647/2024-2C;008.280/2023-1;3203|2022
05/03/2024;Ministério do Trabalho e Emprego;Acórdão 1642/2024-1C;009.563/2023-7;3178|2022
27/02/2024;Ministério do Trabalho e Emprego;Acórdão 1430/2024-1C;004.732/2023-5;2168|2022
27/02/2024;Ministério do Trabalho e Emprego;Acórdão 1332/2024-1C;019.967/2022-5;1216|2022
27/02/2024;Ministério do Trabalho e Emprego;Acórdão 1288/2024-1C;007.851/2023-5;2967|2022
01/02/2024;Ministério do Trabalho e Emprego;Acórdão 702/2024-1C;004.728/2023-8;2616|2022
23/01/2024;Ministério do Trabalho e Emprego;Acórdão 395/2024-1C;004.756/2023-1;2266|2022
23/01/2024;Ministério do Trabalho e Emprego;Acórdão 190/2024-2C;030.547/2022-9;1890|2022
05/12/2023;Ministério do Trabalho e Emprego;Acórdão 13747/2023-1C;038.305/2021-6;1059|2021
05/12/2023;Ministério do Trabalho e Emprego;Acórdão 14068/2023-1C;004.747/2023-2;2480|2022
05/12/2023;Ministério do Trabalho e Emprego;Acórdão 13755/2023-1C;041.035/2021-6;1287|2021
28/11/2023;Ministério do Trabalho e Emprego;Acórdão 13634/2023-1C;002.473/2023-2;2958|2022
28/11/2023;Ministério do Trabalho e Emprego;Acórdão 13635/2023-1C;002.477/2023-8;1930|2022
14/11/2023;Ministério do Trabalho e Emprego;Acórdão 10817/2023-2C;031.801/2022-6;2476|2022
07/11/2023;Ministério do Trabalho e Emprego;Acórdão 12548/2023-1C;020.743/2022-0;812|2022
07/11/2023;Ministério do Trabalho e Emprego;Acórdão 10570/2023-2C;031.794/2022-0;2283|2022
31/10/2023;Ministério do Trabalho e Emprego;Acórdão 12126/2023-1C;021.301/2022-0;1535|2022
31/10/2023;Ministério do Trabalho e Emprego;Acórdão 12125/2023-1C;021.297/2022-3;1416|2022
31/10/2023;Ministério do Trabalho e Emprego;Acórdão 12127/2023-1C;021.307/2022-9;1217|2022
17/10/2023;Ministério do Trabalho e Emprego;Acórdão 9965/2023-2C;031.793/2022-3;2063|2022
10/10/2023;Ministério do Trabalho e Emprego;Acórdão 11290/2023-1C;041.036/2021-2;1395|2021
10/10/2023;Ministério do Trabalho e Emprego;Acórdão 11350/2023-1C;031.800/2022-0;1906|2022
10/10/2023;Ministério do Trabalho e Emprego;Acórdão 11476/2023-1C;019.608/2022-5;1013|2022
19/09/2023;Ministério do Trabalho e Emprego;Acórdão 10789/2023-1C;019.104/2021-9;520|2021
15/08/2023;Ministério do Trabalho e Emprego;Acórdão 8304/2023-2C;016.025/2022-9;867|2022
01/08/2023;Secretaria Especial de Produtividade, Emprego e Competitividade (Extinta);Acórdão 8905/2023-1C;001.987/2022-4;430|2021
25/07/2023;Ministério do Trabalho e Emprego;Acórdão 8568/2023-1C;008.438/2022-6;2904|2021
25/07/2023;Ministério do Trabalho e Emprego;Acórdão 8569/2023-1C;009.029/2022-2;2833|2021
13/06/2023;Ministério do Trabalho e Emprego;Acórdão 4495/2023-2C;011.439/2022-0;336|2022
30/05/2023;Ministério do Trabalho e Emprego;Acórdão 4174/2023-1C;006.455/2021-2;2869|2020
23/05/2023;Ministério do Trabalho e Emprego;Acórdão 3648/2023-2C;011.436/2022-0;729|2022
23/05/2023;Ministério do Trabalho e Emprego;Acórdão 3646/2023-2C;003.581/2022-5;2840|2021
09/05/2023;Ministério do Trabalho e Emprego;Acórdão 3781/2023-1C;008.445/2022-2;2971|2021
03/05/2023;Ministério do Trabalho e Emprego;Acórdão 3437/2023-1C;036.207/2021-7;43|2021
05/04/2023;Ministério do Trabalho e Emprego;Acórdão 2600/2023-1C;039.883/2021-3;1587|2021
05/04/2023;Ministério do Trabalho e Emprego;Acórdão 2599/2023-1C;037.646/2021-4;636|2021
05/04/2023;Ministério do Trabalho e Emprego;Acórdão 2602/2023-1C;041.324/2021-8;1585|2021
07/03/2023;Ministério do Trabalho e Emprego;Acórdão 1888/2023-2C;001.593/2022-6;2625|2021
07/03/2023;Ministério do Trabalho e Emprego;Acórdão 1690/2023-1C;038.308/2021-5;535|2021
08/02/2023;Ministério do Trabalho e Emprego;Acórdão 857/2023-1C;041.322/2021-5;1247|2021
07/02/2023;Ministério do Trabalho e Emprego;Acórdão 916/2023-2C;013.131/2022-2;2969|2021
07/02/2023;Ministério do Trabalho e Emprego;Acórdão 1379/2023-2C;011.422/2022-0;876|2022
24/01/2023;Ministério do Trabalho e Emprego;Acórdão 17/2023-2C;036.265/2021-7;232|2021
