Data da sessão;Unidade Instauradora;Descrição Acórdão;Processo;TCE
04/06/2025;Ministério do Trabalho e Emprego;Acórdão 3559/2025-1C;032.935/2023-4;1182|2023
04/06/2025;Ministério do Trabalho e Emprego;Acórdão 3558/2025-1C;020.772/2022-0;1817|2022
03/06/2025;Ministério do Trabalho e Emprego;Acórdão 2807/2025-2C;015.381/2024-2;206|2024
27/05/2025;Ministério do Trabalho e Emprego;Acórdão 3404/2025-1C;024.221/2024-4;1298|2024
27/05/2025;Ministério do Trabalho e Emprego;Acórdão 2752/2025-2C;025.002/2024-4;1293|2024
27/05/2025;Ministério do Trabalho e Emprego;Acórdão 3405/2025-1C;024.223/2024-7;968|2024
20/05/2025;Ministério do Trabalho e Emprego;Acórdão 3071/2025-1C;035.206/2023-3;975|2023
20/05/2025;Ministério do Trabalho e Emprego;Acórdão 3214/2025-1C;025.668/2024-2;297|2024
20/05/2025;Ministério do Trabalho e Emprego;Acórdão 2582/2025-2C;000.477/2024-9;2016|2023
20/05/2025;Ministério do Trabalho e Emprego;Acórdão 2588/2025-2C;013.130/2022-6;822|2022
20/05/2025;Ministério do Trabalho e Emprego;Acórdão 3215/2025-1C;025.696/2024-6;1297|2024
20/05/2025;Ministério do Trabalho e Emprego;Acórdão 3343/2025-1C;004.754/2023-9;2440|2022
13/05/2025;Ministério do Trabalho e Emprego;Acórdão 3036/2025-1C;024.224/2024-3;1060|2024
13/05/2025;Ministério do Trabalho e Emprego;Acórdão 3064/2025-1C;021.991/2024-3;1319|2024
13/05/2025;Ministério do Trabalho e Emprego;Acórdão 2471/2025-2C;000.474/2024-0;2028|2023
30/04/2025;Ministério do Trabalho e Emprego;Acórdão 941/2025-PL;038.305/2021-6;1059|2021
30/04/2025;Ministério do Trabalho e Emprego;Acórdão 908/2025-PL;019.822/2024-3;2721|2023
30/04/2025;Ministério do Trabalho e Emprego;Acórdão 922/2025-PL;031.793/2022-3;2063|2022
29/04/2025;Ministério do Trabalho e Emprego;Acórdão 2904/2025-1C;004.754/2023-9;2440|2022
29/04/2025;Ministério do Trabalho e Emprego;Acórdão 2297/2025-2C;000.526/2024-0;2021|2023
22/04/2025;Ministério do Trabalho e Emprego;Acórdão 2228/2025-2C;002.193/2023-0;1720|2022
15/04/2025;Ministério do Trabalho e Emprego;Acórdão 2096/2025-2C;035.074/2023-0;1436|2023
15/04/2025;Ministério do Trabalho e Emprego;Acórdão 2095/2025-2C;035.063/2023-8;1204|2023
15/04/2025;Ministério do Trabalho e Emprego;Acórdão 2597/2025-1C;024.225/2024-0;1295|2024
08/04/2025;Ministério do Trabalho e Emprego;Acórdão 2359/2025-1C;032.135/2023-8;982|2023
04/04/2025;Ministério do Trabalho e Emprego;Acórdão 694/2025-PL;019.823/2024-0;2090|2023
01/04/2025;Ministério do Trabalho e Emprego;Acórdão 1933/2025-2C;014.815/2023-0;336|2023
01/04/2025;Ministério do Trabalho e Emprego;Acórdão 1917/2025-2C;018.425/2024-0;574|2024
01/04/2025;Ministério do Trabalho e Emprego;Acórdão 2326/2025-1C;030.546/2022-2;1777|2022
01/04/2025;Ministério do Trabalho e Emprego;Acórdão 2244/2025-1C;031.812/2022-8;1921|2022
26/03/2025;Ministério do Trabalho e Emprego;Acórdão 2171/2025-1C;022.009/2024-8;1154|2024
25/03/2025;Ministério do Trabalho e Emprego;Acórdão 1815/2025-2C;024.704/2024-5;1124|2024
18/03/2025;Ministério do Trabalho e Emprego;Acórdão 1578/2025-2C;023.045/2024-8;1127|2024
