Comunicação;Destinatário;Contato;Unidade Emitente;Processo;Data de Expedição;Data da Resposta
Ofício 014.821/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;035.063/2023-8;12/05/2026;
Ofício 017.028/2026;MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;000.375/2025-0;11/05/2026;
Ofício 011.523/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;014.543/2023-0;06/05/2026;
Ofício 015.792/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;007.235/2026-7;05/05/2026;
Ofício 015.956/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;014.525/2023-2;05/05/2026;
Ofício 015.719/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;037.329/2023-5;04/05/2026;
Ofício 015.569/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;012.712/2022-1;04/05/2026;
Ofício 013.244/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;028.377/2020-6;30/04/2026;
Ofício 014.110/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;035.071/2023-0;30/04/2026;
Ofício 000.904/2026;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO ESTADO DE SÃO PAULO;SUPERINTENDENTE REGIONAL DO TRABALHO NO ESTADO DE SÃO PAULO;AUDPESSOAL;031.427/2014-6;27/04/2026;11/05/2026
Ofício 014.563/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;002.982/2026-9;24/04/2026;27/05/2026
Ofício 014.742/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;COORDENADOR(A)-GERAL DE RECURSOS LOGÍSTICOS DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;007.235/2026-7;23/04/2026;06/05/2026
Ofício 014.737/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;COORDENADOR(A)-GERAL DE RECURSOS LOGÍSTICOS DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;007.235/2026-7;23/04/2026;06/05/2026
Ofício 014.200/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;025.671/2024-3;22/04/2026;
Ofício 014.450/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;006.617/2024-7;22/04/2026;
Ofício 013.681/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;005.787/2024-6;17/04/2026;
Ofício 013.677/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;000.474/2024-0;17/04/2026;
Ofício 010.266/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;023.044/2024-1;17/04/2026;
Ofício 010.554/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;032.932/2023-5;17/04/2026;
Ofício 013.718/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;007.442/2025-4;16/04/2026;
Ofício 013.002/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;004.754/2023-9;16/04/2026;
Ofício 011.980/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;008.472/2025-4;13/04/2026;
Ofício 011.947/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;007.098/2026-0;07/04/2026;15/04/2026
Ofício 010.537/2026;MINISTÉRIO DO TRABALHO E EMPREGO;LUIZ HENRIQUE RAMOS LOPES;SEPROC;006.649/2026-2;31/03/2026;
Ofício 010.626/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;019.824/2024-6;31/03/2026;
Ofício 009.789/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;032.344/2023-6;27/03/2026;
Ofício 009.215/2026;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO ESTADO DE RONDÔNIA;SUPERINTENDENTE REGIONAL;SEPROC;045.307/2021-0;26/03/2026;13/04/2026
Ofício 009.808/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;032.133/2023-5;26/03/2026;
Ofício 009.382/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.825/2025-0;25/03/2026;
Ofício 009.318/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;004.819/2023-3;24/03/2026;
Ofício 009.308/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;040.487/2023-7;24/03/2026;
Ofício 008.346/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;018.009/2025-5;23/03/2026;
Ofício 008.504/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;005.226/2023-6;23/03/2026;
Ofício 008.366/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;021.181/2025-0;23/03/2026;
Ofício 008.378/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;020.412/2025-8;20/03/2026;
Ofício 008.179/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;020.416/2025-3;20/03/2026;
Ofício 008.165/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;018.754/2025-2;20/03/2026;
Ofício 008.296/2026;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO ESTADO DO PIAUÍ;SUPERINTENDENTE ;SEPROC;013.049/2025-9;17/03/2026;07/04/2026
Ofício 008.297/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;013.049/2025-9;17/03/2026;07/04/2026
Ofício 007.592/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;009.123/2025-3;12/03/2026;
Ofício 007.466/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;020.374/2025-9;12/03/2026;
Ofício 007.301/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;001.497/2026-0;12/03/2026;30/03/2026
Ofício 007.412/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;008.382/2024-7;12/03/2026;
Ofício 007.101/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;000.890/2025-1;11/03/2026;27/03/2026
Ofício 007.048/2026;Identidade preservada;FRANCISCO MACENA DA SILVA;SEPROC;024.354/2025-2;10/03/2026;25/03/2026
Ofício 006.789/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;000.498/2024-6;09/03/2026;
Ofício 005.746/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;037.236/2018-0;05/03/2026;
Ofício 006.303/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;001.952/2022-6;04/03/2026;
Ofício 005.692/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;015.553/2025-6;27/02/2026;16/03/2026
Ofício 005.538/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;001.471/2026-0;27/02/2026;16/03/2026
Ofício 005.682/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;004.848/2026-8;27/02/2026;
Ofício 005.545/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;004.749/2023-5;27/02/2026;
Ofício 005.546/2026;FUNDO DE AMPARO AO TRABALHADOR;PRESIDENTE DO CONSELHO DELIBERATIVO DO FUNDO DE AMPARO AO TRABALHADOR;SEPROC;001.471/2026-0;27/02/2026;16/03/2026
Ofício 005.221/2026;FUNDO DE GARANTIA POR TEMPO DE SERVIÇO;SECRETÁRIO-EXECUTIVO DO CONSELHO CURADOR DO FGTS;SEPROC;033.078/2023-8;24/02/2026;12/03/2026
Ofício 005.136/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;018.821/2025-1;24/02/2026;
Ofício 005.034/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;017.760/2020-8;23/02/2026;24/02/2026
Ofício 004.915/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;020.485/2025-5;23/02/2026;
Ofício 000.114/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA ;AUDEDUCAÇÃO;011.103/2025-6;12/02/2026;05/03/2026
Ofício 003.359/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;018.752/2025-0;12/02/2026;
Ofício 003.363/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;018.750/2025-7;12/02/2026;
Ofício 001.341/2026;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO ESTADO DE TOCANTINS;JALSON JÁCOMO DO COUTO;SEPROC;;12/02/2026;
Ofício 000.218/2026;MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;AUDPESSOAL;007.442/2025-4;12/02/2026;20/03/2026
Ofício 003.732/2026;CONSELHO CURADOR DO FUNDO DE GARANTIA POR TEMPO DE SERVIÇO;SECRETÁRIO(A)-EXECUTIVO(A) DO CONSELHO CURADOR DO FGTS;SEPROC;008.950/2025-3;11/02/2026;
Ofício 003.621/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;018.756/2025-5;10/02/2026;
Ofício 003.529/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;000.526/2024-0;10/02/2026;
Ofício 003.649/2026;Identidade preservada;FRANCISCO MACENA DA SILVA;SEPROC;001.364/2026-0;10/02/2026;26/02/2026
Ofício 003.646/2026;Identidade preservada;QUENIO CERQUEIRA DE FRANÇA;SEPROC;001.364/2026-0;10/02/2026;20/02/2026
Ofício 003.647/2026;Identidade preservada;SECRETÁRIO(A)-EXECUTIVO(A) DO CONSELHO CURADOR DO FGTS;SEPROC;001.364/2026-0;10/02/2026;26/02/2026
Ofício 001.310/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;008.761/2020-5;05/02/2026;
Ofício 002.494/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;031.812/2022-8;04/02/2026;
Ofício 002.392/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.234/2024-3;03/02/2026;
Ofício 001.585/2026;Identidade preservada;FRANCISCO MACENA DA SILVA;SEPROC;024.939/2024-2;29/01/2026;
Ofício 001.354/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;028.516/2024-9;28/01/2026;
Ofício 001.356/2026;FUNDO DE AMPARO AO TRABALHADOR;SÉRGIO LUIZ LEITE;SEPROC;028.516/2024-9;28/01/2026;
Ofício 001.353/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;028.516/2024-9;28/01/2026;
Ofício 001.129/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;002.442/2024-8;27/01/2026;
Ofício 000.917/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;037.329/2023-5;23/01/2026;
Ofício 000.792/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;032.184/2023-9;22/01/2026;
Ofício 000.126/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;016.714/2021-0;08/01/2026;05/02/2026
Ofício 053.686/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;002.566/2024-9;05/01/2026;
Ofício 054.644/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;005.604/2024-9;29/12/2025;
Ofício 054.263/2025;Identidade preservada;FRANCISCO MACENA DA SILVA;SEPROC;008.583/2025-0;22/12/2025;27/02/2026
Ofício 048.201/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;032.934/2023-8;22/12/2025;
Ofício 054.292/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;040.487/2023-7;22/12/2025;
Ofício 051.484/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;020.985/2023-1;19/12/2025;
Ofício 048.701/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;015.055/2024-8;17/12/2025;
Ofício 053.145/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;009.123/2025-3;15/12/2025;
Ofício 053.144/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;009.123/2025-3;15/12/2025;
Ofício 048.119/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;032.134/2023-1;15/12/2025;
Ofício 052.978/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;014.723/2025-5;15/12/2025;
Ofício 053.196/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;003.936/2025-2;15/12/2025;
Ofício 002.792/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO-EXECUTIVO;AUDPESSOAL;023.685/2025-5;15/12/2025;12/01/2026
Ofício 051.261/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;015.603/2025-3;15/12/2025;
Ofício 049.049/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.545/2025-7;15/12/2025;
Ofício 053.236/2025;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;029.067/2010-3;15/12/2025;
Ofício 052.787/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;016.487/2024-9;12/12/2025;
Ofício 048.428/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;032.333/2023-4;12/12/2025;
Ofício 049.067/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;002.979/2024-1;11/12/2025;
Ofício 048.154/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;015.060/2024-1;11/12/2025;
Ofício 048.797/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;004.749/2023-5;11/12/2025;
Ofício 050.842/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.827/2025-2;10/12/2025;
Ofício 051.590/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;019.607/2022-9;10/12/2025;
Ofício 052.341/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;006.617/2024-7;09/12/2025;30/03/2026
Ofício 051.799/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;038.891/2023-9;09/12/2025;
Ofício 051.632/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.234/2024-3;09/12/2025;
Ofício 051.400/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.828/2025-9;08/12/2025;
Ofício 050.870/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;018.010/2025-3;04/12/2025;
Ofício 051.373/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;002.492/2020-2;03/12/2025;
Ofício 048.934/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.839/2025-0;03/12/2025;
Ofício 049.069/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;003.171/2025-6;03/12/2025;
Ofício 050.751/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;018.781/2024-1;03/12/2025;30/12/2025
Ofício 049.576/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;019.104/2021-9;28/11/2025;
Ofício 049.082/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.719/2025-5;28/11/2025;
Ofício 049.126/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;008.382/2024-7;28/11/2025;
Ofício 002.628/2025;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO ESTADO DE RONDÔNIA;TEREZA JANETE CORDOVA SANTOS;AUDPESSOAL;010.167/2025-0;24/11/2025;09/03/2026
Ofício 048.767/2025;MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;019.652/2023-2;18/11/2025;
Ofício 047.982/2025;Identidade preservada;FRANCISCO MACENA DA SILVA;SEPROC;037.375/2023-7;13/11/2025;01/12/2025
Ofício 047.977/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;020.772/2022-0;13/11/2025;
Ofício 047.741/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;021.085/2025-0;12/11/2025;24/11/2025
Ofício 047.980/2025;MINISTÉRIO DO TRABALHO E EMPREGO;LUIZ MARINHO;SEPROC;002.978/2024-5;12/11/2025;
Ofício 047.201/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;016.116/2022-4;10/11/2025;
Ofício 044.624/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;019.654/2023-5;10/11/2025;
