Comunicação;Destinatário;Contato;Unidade Emitente;Processo;Data de Expedição;Data da Resposta
Ofício 032.534/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;032.930/2023-2;15/08/2025;
Ofício 033.140/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;016.041/2025-9;15/08/2025;
Ofício 032.987/2025;FUNDO DE AMPARO AO TRABALHADOR;SECRETÁRIO(A)- EXECUTIVO DO FUNDO DE AMPARO AO TRABALHADOR;SEPROC;016.041/2025-9;15/08/2025;
Ofício 032.988/2025;FUNDO DE GARANTIA POR TEMPO DE SERVIÇO;SECRETÁRIO-EXECUTIVO DO CONSELHO CURADOR DO FGTS;SEPROC;016.041/2025-9;15/08/2025;
Ofício 030.802/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;025.727/2024-9;14/08/2025;
Ofício 033.061/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;028.024/2015-0;13/08/2025;
Ofício 032.517/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;032.133/2023-5;13/08/2025;
Ofício 029.846/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;031.376/2018-5;12/08/2025;
Ofício 030.926/2025;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;003.879/2021-6;12/08/2025;
Ofício 031.635/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;022.919/2023-6;12/08/2025;
Ofício 030.994/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;005.135/2025-7;11/08/2025;
Ofício 031.025/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;007.714/2024-6;08/08/2025;
Ofício 000.082/2025;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;ASSESSORIA DE CONTROLE INTERNO;AUDCONTRATAÇÕES;008.885/2025-7;08/08/2025;19/08/2025
Ofício 031.879/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;014.897/2025-3;08/08/2025;
Ofício 030.621/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;019.267/2023-1;08/08/2025;
Ofício 031.558/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;008.936/2025-0;07/08/2025;
Ofício 031.550/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;014.579/2025-1;07/08/2025;
Ofício 030.028/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;018.447/2024-4;06/08/2025;
Ofício 030.298/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;020.772/2022-0;06/08/2025;
Ofício 029.486/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;005.610/2024-9;04/08/2025;
Ofício 000.161/2025;MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO-EXECUTIVO DO MINISTÉRIO DO TRABALHO E EMPREGO;AUDTI;015.553/2025-6;01/08/2025;
Ofício 029.095/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;000.167/2025-8;30/07/2025;
Ofício 030.059/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;014.460/2025-4;30/07/2025;
Ofício 028.804/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;004.729/2023-4;30/07/2025;
Ofício 029.395/2025;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;003.879/2021-6;30/07/2025;
