"Parâmetros de pesquisa:""Ano - 2022"
"Acórdão""Data da sessão""Colegiado""Processo""Tipo de processo""Relator""Unidade técnica do TCU"
"10472/2022-1C""06/12/2022""Primeira Câmara""039.764/2019-2""TOMADA DE CONTAS ESPECIAL""WALTON ALENCAR RODRIGUES""Unidade de Auditoria Especializada em Contratações"
"9160/2022-1C""29/11/2022""Primeira Câmara""020.260/2009-0""TOMADA DE CONTAS ESPECIAL""BRUNO DANTAS""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"8733/2022-2C""06/12/2022""Segunda Câmara""024.173/2022-3""PENSÃO CIVIL""MARCOS BEMQUERER""Unidade de Auditoria Especializada em Pessoal"
"8723/2022-1C""22/11/2022""Primeira Câmara""022.180/2022-2""APOSENTADORIA""JORGE OLIVEIRA""Unidade de Auditoria Especializada em Pessoal"
"8505/2022-2C""06/12/2022""Segunda Câmara""025.332/2020-1""TOMADA DE CONTAS ESPECIAL""MARCOS BEMQUERER""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"8281/2022-2C""29/11/2022""Segunda Câmara""022.710/2022-1""APOSENTADORIA""ANTONIO ANASTASIA""Unidade de Auditoria Especializada em Pessoal"
"8274/2022-1C""22/11/2022""Primeira Câmara""018.801/2022-6""PENSÃO CIVIL""WALTON ALENCAR RODRIGUES""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"7853/2022-2C""22/11/2022""Segunda Câmara""033.576/2013-0""PRESTAÇÃO DE CONTAS""MARCOS BEMQUERER""Unidade de Auditoria Especializada em Bancos Públicos e Reguladores Financeiros"
"7591/2022-1C""18/10/2022""Primeira Câmara""018.800/2022-0""PENSÃO CIVIL""BENJAMIN ZYMLER""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"7251/2022-1C""04/10/2022""Primeira Câmara""033.423/2019-9""TOMADA DE CONTAS ESPECIAL""AUGUSTO SHERMAN""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"6978/2022-2C""25/10/2022""Segunda Câmara""025.478/2013-3""PRESTAÇÃO DE CONTAS""MARCOS BEMQUERER""Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"6818/2022-2C""18/10/2022""Segunda Câmara""018.341/2022-5""APOSENTADORIA""MARCOS BEMQUERER""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"6775/2022-1C""27/09/2022""Primeira Câmara""018.799/2022-1""PENSÃO CIVIL""VITAL DO RÊGO""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"6774/2022-1C""27/09/2022""Primeira Câmara""018.798/2022-5""PENSÃO CIVIL""VITAL DO RÊGO""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"6450/2022-2C""04/10/2022""Segunda Câmara""016.471/2022-9""PENSÃO CIVIL""MARCOS BEMQUERER""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"6449/2022-2C""04/10/2022""Segunda Câmara""016.468/2022-8""PENSÃO CIVIL""MARCOS BEMQUERER""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"6393/2022-1C""20/09/2022""Primeira Câmara""018.614/2022-1""PENSÃO CIVIL""JORGE OLIVEIRA""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"6000/2022-1C""13/09/2022""Primeira Câmara""033.297/2019-3""TOMADA DE CONTAS ESPECIAL""VITAL DO RÊGO""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"5960/2022-1C""13/09/2022""Primeira Câmara""011.246/2016-2""TOMADA DE CONTAS ESPECIAL""WEDER DE OLIVEIRA""Unidade de Auditoria Especializada em Tomada de Contas Especial"
"5811/2022-1C""13/09/2022""Primeira Câmara""015.279/2022-7""APOSENTADORIA""WEDER DE OLIVEIRA""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
"5590/2022-2C""13/09/2022""Segunda Câmara""016.470/2022-2""PENSÃO CIVIL""BRUNO DANTAS""Secretaria de Fiscalização de Integridade de Atos e Pagamentos de Pessoal e de Benefícios Sociais"
